"filename", "language", "Shell Script", "Markdown", "pip requirements", "JavaScript JSX", "Python", "JavaScript", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"c:\HRMS\frontend\src\core\context\ThemeContext.jsx", "JavaScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 10, 64
"c:\HRMS\frontend\src\core\engines\authEngine.js", "JavaScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 35, 12, 112
"c:\HRMS\frontend\src\core\engines\companyEngine.js", "JavaScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 36, 11, 94
"c:\HRMS\frontend\src\core\engines\errorBus.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 2, 18
"c:\HRMS\frontend\src\core\engines\languageEngine.js", "JavaScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 46, 13, 135
"c:\HRMS\frontend\src\core\engines\storageEngine.js", "JavaScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 35, 8, 93
"c:\HRMS\frontend\src\core\hooks\useAuth.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 2, 16
"c:\HRMS\frontend\src\core\hooks\useCompany.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 2, 16
"c:\HRMS\frontend\src\core\hooks\useDocuments.js", "JavaScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 8, 61
"c:\HRMS\frontend\src\core\hooks\useEmployees.js", "JavaScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 21, 18, 143
"c:\HRMS\frontend\src\core\hooks\useLanguage.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 2, 16
"c:\HRMS\frontend\src\core\utils\dateUtils.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 21, 9, 84
"c:\HRMS\frontend\src\core\utils\numberUtils.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 17, 5, 46
"c:\HRMS\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 126, 0, 14, 22, 162
"c:\HRMS\frontend\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\HRMS\frontend\src\locales\en\translation.json", "JSON", 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 1, 227
"c:\HRMS\frontend\src\locales\fa\translation.json", "JSON", 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 1, 305
"c:\HRMS\frontend\src\modules\attendance\Attendance.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\HRMS\frontend\src\modules\correspondences\Announcements.jsx", "JavaScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\HRMS\frontend\src\modules\correspondences\Forms.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
